pollutants_sk,location_sk,weather_sk,date_sk,pollution_main_aqi,pollution_components_co,pollution_components_no,pollution_components_no2,pollution_components_o3,pollution_components_so2,pollution_components_pm2_5,pollution_components_pm10,pollution_components_nh3
0,0,0,0,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
1,1,1,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
2,2,2,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
3,0,0,0,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
4,1,1,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
5,2,2,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
6,0,0,6,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
7,1,1,6,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
8,2,2,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
9,0,0,0,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
10,0,1,0,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
11,1,1,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
12,1,0,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
13,2,2,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
14,2,3,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
15,2,0,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
16,0,0,6,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
17,0,1,6,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
18,1,1,6,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
19,1,1,6,2,126.33,0.07,1.78,71.72,1.27,1.63,2.24,1.93
20,1,0,6,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
21,1,0,6,2,126.33,0.07,1.78,71.72,1.27,1.63,2.24,1.93
22,2,2,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
23,2,3,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
24,2,0,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
25,0,0,5,3,110.72,0.08,0.46,111.68,2.28,11.85,28.47,0.51
26,0,1,5,3,110.72,0.08,0.46,111.68,2.28,11.85,28.47,0.51
27,2,2,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
28,2,3,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
29,2,0,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
30,0,0,7,3,108.3,0.08,0.47,111.42,1.97,11.11,26.26,0.46
31,0,1,7,3,108.3,0.08,0.47,111.42,1.97,11.11,26.26,0.46
32,1,1,7,2,125.35,0.04,1.83,72.07,1.25,1.66,2.28,2.01
33,1,0,7,2,125.35,0.04,1.83,72.07,1.25,1.66,2.28,2.01
34,2,2,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
35,2,3,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
36,2,0,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
37,0,0,8,3,105.31,0.07,0.76,119.87,2.55,10.99,27.51,0.33
38,0,1,8,3,105.31,0.07,0.76,119.87,2.55,10.99,27.51,0.33
39,1,1,8,2,125.75,0.04,1.25,86.86,1.3,2.61,3.37,2.22
40,1,0,8,2,125.75,0.04,1.25,86.86,1.3,2.61,3.37,2.22
